instName	libName
University of Oklahoma	Robert M Bird Health Science Library
University of Ottawa	Health Sciences Library
University of Pennsylvania	Health Sciences Libraries
University of Pittsburgh	Health Sciences Library System
University of Saskatchewan	Leslie and Irene Dube Health Sciences Library
University of South Alabama	Biomedical Library
University of South Carolina	School of Medicine Library
University of South Dakota School of Med	University Libraries and Wegner Health Science Information Center
University of South Florida	Shimberg Health Sciences Library
University of Southern California	Norris Medical Library
University of Southern California	Norris Medical Library
University of Tennessee Graduate School of Medicine	Preston Medical Library
University of Tennessee Health Science Center	Health Science Library & Biocommunic. Ctr
University of Tennessee Health Sciences Center	Health Sciences Library
University of Texas Medical Branch	Moody Medical Library
University of Texas Medical School-Houston	Learning Resource Center
University of Texas Rio Grande Valley	School of Medicine Libraries
University of Toronto	Gerstein Science Information Centre
University of Utah	Spencer S. Eccles Hlt Science Library
University of Vermont	Charles A. Dana Med Library
University of Washington	UW Health Sciences Library
University of Washington	Health Sciences Library
Vanderbilt University	Eskind Biomedical Library
Virginia Commonwealth University	Tompkins-McCaw Library for the Health Science
Washington State University	Spokane Academic Library
Washington University School of Medicine	Bernard Becker Medical Library
Wayne State	Shiffman Medical Library
Weill Cornell Med College	Samuel J. Wood Library
Weill Cornell Medical College in Qatar	Distributed eLibrary
Western Michigan University Homer Stryker M.D. School of Medicine	WMU Homer Stryker M.D. School of Medicine Library
Western University of Health Sciences	Harriet K. & Philip Pumerantz Library
Yale University	Cushing/Whitney Medical Library

