instName	libName	libURL
The University of Toledo	Raymon H. Mulford Library	http://www.EXAMPLE.com
Thomas Jefferson University	Scott Memorial Library	http://www.EXAMPLE.com
Tufts University	Hirsh Health Sciences Library	http://www.EXAMPLE.com
Tulane University	Rudolph Matas Library of the Health Sciences	http://www.EXAMPLE.com
U AZ College of Medicine-Phx	Arizona Health Sciences Library-Phoenix	http://www.EXAMPLE.com
U of N Carolina at Chapel Hill	Health Sciences Library	http://www.EXAMPLE.com
UC Irvine	UCI Libraries	http://www.EXAMPLE.com
UCLA 	Louise M. Darling Biomedical Library	http://www.EXAMPLE.com
Univ of Calif, San Francisco	Library and Center for Knowledge Management	http://www.EXAMPLE.com
Univ of California Davis	Blaisdell Medical Library	http://www.EXAMPLE.com
Univ of Connecticut Hlt Ctr	Lyman Maynard Stowe Library	http://www.EXAMPLE.com
Univ of North Texas Health Sci Ctr	Gibson D. Lewis Health Science Library	http://www.EXAMPLE.com
Univ of Rochester Medical Ctr	Edward G. Miner Library	http://www.EXAMPLE.com
Univ of Texas Hlt Sci Ctr	Briscoe Library	http://www.EXAMPLE.com
Univ of Texas MD Anderson Cancer Ctr	Research Medical Library - Unit 1499	http://www.EXAMPLE.com
Univ of Texas Southwestern Med Ctr	Health Sciences Digital Library and Learning Center	http://www.EXAMPLE.com
Univ of Virginia Health System	Claude Moore Health Sciences Library	http://www.EXAMPLE.com
Univ of Wisconsin-Madison	Ebling Library	http://www.EXAMPLE.com
Univ. of Illinois at Chicago	Library of the Health Sciences	http://www.EXAMPLE.com
Univ. of Minnesota,Twin Cities	Health Sciences Libraries	http://www.EXAMPLE.com
Univ. of Nevada School of Med.	Savitt Medical Library	http://www.EXAMPLE.com
University at Buffalo (SUNY)	Health Sciences Library	http://www.EXAMPLE.com
University of Alabama at Birmingham	UAB Libraries	http://www.EXAMPLE.com
University of Arizona	Arizona Health Sciences Library	http://www.EXAMPLE.com
University of Arkansas for Medical Sciences	UAMS LIbrary	http://www.EXAMPLE.com
University of Calgary	University of Calgary - Libraries & Cultural Resources	http://www.EXAMPLE.com
University of California Riverside	Orbach Science Library	http://www.EXAMPLE.com
University of Central Florida College of Medicine	Harriet F. Ginsburg Health Sciences Library	http://www.EXAMPLE.com
University of Chicago	The John Crerar Library	http://www.EXAMPLE.com
University of Cincinnati	Donald C. Harrison Health Sciences Library	http://www.EXAMPLE.com
University of Colorado Anschutz Medical Campus	Health Sciences Library	http://www.EXAMPLE.com
University of Florida	Health Science Center Libraries	http://www.EXAMPLE.com
University of Hawaii at Manoa	Health Sciences Library, John A. Burns Schl of Med	http://www.EXAMPLE.com
University of Iowa	Hardin Library for the Hlt Science	http://www.EXAMPLE.com
University of Kansas Medical Center	Dykes Library	http://www.EXAMPLE.com
University of Kentucky	Medical Center Library	http://www.EXAMPLE.com
University of Louisville	Kornhauser Health Science Library	http://www.EXAMPLE.com
University of Manitoba	Neil John Maclean Health Science Library	http://www.EXAMPLE.com
University of Maryland, Baltimore	Health Sciences & Human Services Library	http://www.EXAMPLE.com
University of Massachusetts Med Ctr	Lamar Soutter Library	http://www.EXAMPLE.com
University of Michigan	University of Michigan Library	http://www.EXAMPLE.com
University of Mississippi Med Ctr	Rowland Medical Library	http://www.EXAMPLE.com
University of Missouri	J. Otto Lottes Health Sciences Library	http://www.EXAMPLE.com
University of Missouri - Kansas City	Health Sciences Librariy	http://www.EXAMPLE.com
University of Nebraska Medical Center	McGoogan Library of Medicine	http://www.EXAMPLE.com
University of New Mexico	Health Sciences Library & Informatics Center	http://www.EXAMPLE.com
University of North Dakota	Library of the Health Sciences	http://www.EXAMPLE.com
University of Oklahoma	Robert M Bird Health Science Library	http://www.EXAMPLE.com
University of Ottawa	Health Sciences Library	http://www.EXAMPLE.com
University of Pennsylvania	Health Sciences Libraries	http://www.EXAMPLE.com
University of Pittsburgh	Health Sciences Library System	http://www.EXAMPLE.com
University of Saskatchewan	Leslie and Irene Dube Health Sciences Library	http://www.EXAMPLE.com
University of South Alabama	Biomedical Library	http://www.EXAMPLE.com
University of South Carolina	School of Medicine Library	http://www.EXAMPLE.com
University of South Dakota School of Med	University Libraries and Wegner Health Science Information Center	http://www.EXAMPLE.com
University of South Florida	Shimberg Health Sciences Library	http://www.EXAMPLE.com
University of Southern California	Norris Medical Library	http://www.EXAMPLE.com
University of Southern California	Norris Medical Library	http://www.EXAMPLE.com
University of Tennessee Graduate School of Medicine	Preston Medical Library	http://www.EXAMPLE.com
University of Tennessee Health Science Center	Health Science Library & Biocommunic. Ctr	http://www.EXAMPLE.com
University of Tennessee Health Sciences Center	Health Sciences Library	http://www.EXAMPLE.com
University of Texas Medical Branch	Moody Medical Library	http://www.EXAMPLE.com
University of Texas Medical School-Houston	Learning Resource Center	http://www.EXAMPLE.com
University of Texas Rio Grande Valley	School of Medicine Libraries	http://www.EXAMPLE.com
University of Toronto	Gerstein Science Information Centre	http://www.EXAMPLE.com
University of Utah	Spencer S. Eccles Hlt Science Library	http://www.EXAMPLE.com
University of Vermont	Charles A. Dana Med Library	http://www.EXAMPLE.com
University of Washington	UW Health Sciences Library	http://www.EXAMPLE.com
University of Washington	Health Sciences Library	http://www.EXAMPLE.com
Vanderbilt University	Eskind Biomedical Library	http://www.EXAMPLE.com
Virginia Commonwealth University	Tompkins-McCaw Library for the Health Science	http://www.EXAMPLE.com
Washington State University	Spokane Academic Library	http://www.EXAMPLE.com
Washington University School of Medicine	Bernard Becker Medical Library	http://www.EXAMPLE.com
Wayne State	Shiffman Medical Library	http://www.EXAMPLE.com
Weill Cornell Med College	Samuel J. Wood Library	http://www.EXAMPLE.com
Weill Cornell Medical College in Qatar	Distributed eLibrary	http://www.EXAMPLE.com
Western Michigan University Homer Stryker M.D. School of Medicine	WMU Homer Stryker M.D. School of Medicine Library	http://www.EXAMPLE.com
Western University of Health Sciences	Harriet K. & Philip Pumerantz Library	http://www.EXAMPLE.com
Yale University	Cushing/Whitney Medical Library	http://www.EXAMPLE.com
